Date,Close/Last,Volume,Open,High,Low
07/07/2025,$70.51,4196100,$71.59,$71.83,$69.80
07/03/2025,$72.10,1784955,$72.20,$72.84,$71.67
07/02/2025,$71.59,3687538,$71.33,$71.93,$70.27
07/01/2025,$70.65,5341174,$67.29,$72.17,$67.10
06/30/2025,$67.13,3711762,$68.49,$68.60,$66.76
06/27/2025,$68.22,4742994,$69.02,$69.50,$67.20
06/26/2025,$68.43,2148147,$68.36,$68.76,$67.58
06/25/2025,$68.00,2837641,$68.58,$69.01,$67.36
06/24/2025,$68.84,4386404,$67.06,$69.13,$66.895
06/23/2025,$66.37,3985173,$66.75,$66.86,$64.65
06/20/2025,$67.52,5188012,$68.07,$68.3184,$66.90
06/18/2025,$67.76,2799138,$68.41,$68.72,$67.72
06/17/2025,$69.39,4375057,$70.42,$70.70,$69.21
06/16/2025,$71.23,2989265,$70.55,$71.33,$69.71
06/13/2025,$69.60,2916820,$71.35,$72.06,$69.22
06/12/2025,$72.54,2455931,$72.34,$72.625,$71.8205
06/11/2025,$72.65,3485708,$75.10,$75.40,$72.39
06/10/2025,$74.91,4247307,$73.24,$75.44,$72.995
06/09/2025,$72.75,4425001,$73.84,$73.85,$72.56
06/06/2025,$73.02,3845723,$71.08,$73.37,$71.08
06/05/2025,$70.46,3325544,$69.40,$71.38,$68.68
06/04/2025,$69.67,2496318,$69.56,$69.98,$68.94
06/03/2025,$69.84,4007423,$68.33,$70.315,$68.1501
06/02/2025,$68.27,4785817,$66.79,$68.366,$66.10
05/30/2025,$66.28,6442231,$66.035,$67.16,$65.86
05/29/2025,$66.32,11678830,$68.37,$68.90,$64.305
05/28/2025,$71.52,4761970,$72.44,$72.92,$71.51
05/27/2025,$72.22,3619872,$71.445,$72.28,$70.58
05/23/2025,$69.92,3591184,$67.75,$70.72,$67.56
05/22/2025,$70.76,3125242,$69.90,$71.09,$69.765
05/21/2025,$70.15,3541131,$70.00,$71.66,$69.47
05/20/2025,$71.15,4254566,$71.50,$72.77,$70.88
05/19/2025,$71.60,3356691,$72.34,$72.635,$71.05
05/16/2025,$73.80,2137780,$73.42,$73.879,$72.6655
05/15/2025,$72.84,2148487,$72.93,$73.35,$72.385
05/14/2025,$73.39,3529120,$73.42,$74.33,$73.011
05/13/2025,$73.77,2935706,$74.46,$74.735,$73.55
05/12/2025,$73.37,5019260,$75.28,$76.40,$71.87
05/09/2025,$68.85,1881824,$69.49,$69.58,$68.50
05/08/2025,$69.42,2519304,$69.14,$70.40,$68.19
05/07/2025,$68.38,2983545,$67.33,$68.80,$67.045
05/06/2025,$66.68,2235821,$66.79,$67.135,$66.07
05/05/2025,$67.66,2103699,$67.15,$68.91,$67.15
05/02/2025,$68.07,3315535,$68.57,$69.29,$67.48
05/01/2025,$67.04,2596273,$67.29,$67.825,$66.71
04/30/2025,$66.69,3534901,$65.52,$66.76,$64.63
04/29/2025,$66.68,2453212,$66.84,$67.11,$66.10
04/28/2025,$67.48,3462329,$68.00,$68.75,$66.19
04/25/2025,$67.71,5171811,$65.99,$68.215,$65.97
04/24/2025,$66.00,3671655,$64.00,$66.17,$62.88
04/23/2025,$63.47,4941709,$66.69,$68.30,$63.3401
04/22/2025,$63.38,4699347,$63.14,$64.415,$62.43
04/21/2025,$62.11,3088529,$61.29,$62.29,$60.30
04/17/2025,$61.97,3862549,$60.03,$62.375,$60.03
04/16/2025,$59.63,3158071,$60.54,$61.44,$59.16
04/15/2025,$61.14,4036810,$61.82,$62.95,$60.765
04/14/2025,$61.76,9499282,$64.53,$64.53,$61.10
04/11/2025,$60.43,5163791,$58.92,$60.625,$57.25
04/10/2025,$59.75,7115385,$61.29,$61.42,$57.25
04/09/2025,$63.65,12482550,$56.49,$63.83,$54.99
