Date,Close/Last,Volume,Open,High,Low
07/07/2025,$51.82,11028600,$52.28,$53.27,$51.41
07/03/2025,$52.89,6612290,$52.79,$53.9601,$52.70
07/02/2025,$52.68,9461786,$52.03,$52.77,$51.96
07/01/2025,$52.03,13748030,$48.82,$52.125,$48.80
06/30/2025,$49.21,9634888,$49.58,$49.62,$48.93
06/27/2025,$49.68,10695840,$49.32,$50.14,$49.08
06/26/2025,$49.16,10386260,$48.04,$49.19,$47.72
06/25/2025,$48.13,6906761,$49.02,$49.0999,$47.82
06/24/2025,$49.00,12550430,$48.96,$49.365,$48.85
06/23/2025,$48.52,10626480,$47.96,$48.58,$47.63
06/20/2025,$48.20,22249840,$48.42,$48.735,$47.785
06/18/2025,$48.09,8418081,$48.30,$48.70,$47.94
06/17/2025,$48.28,9078657,$48.87,$49.246,$48.25
06/16/2025,$49.27,5884651,$49.25,$49.465,$48.65
06/13/2025,$48.65,8701843,$48.62,$49.18,$48.405
06/12/2025,$49.26,6602178,$49.46,$49.54,$48.60
06/11/2025,$49.87,10605780,$49.33,$50.40,$49.27
06/10/2025,$48.93,7942551,$48.09,$49.325,$47.84
06/09/2025,$47.93,6467748,$47.87,$48.57,$47.73
06/06/2025,$47.47,7949455,$47.64,$47.84,$47.195
06/05/2025,$47.25,10097210,$47.51,$47.85,$46.815
06/04/2025,$47.67,9889323,$49.06,$49.10,$47.60
06/03/2025,$49.06,12403490,$47.55,$49.14,$47.285
06/02/2025,$47.69,13019240,$49.10,$49.19,$47.035
05/30/2025,$49.61,17722760,$48.46,$49.935,$48.29
05/29/2025,$48.59,8400697,$48.45,$48.62,$47.965
05/28/2025,$48.13,8419556,$49.09,$49.09,$48.015
05/27/2025,$49.09,8936848,$49.17,$49.46,$48.50
05/23/2025,$48.69,5612309,$48.37,$49.17,$48.3121
05/22/2025,$49.28,6378158,$49.35,$49.68,$48.90
05/21/2025,$49.37,7515609,$49.88,$50.54,$49.29
05/20/2025,$50.21,6565365,$50.26,$50.55,$49.90
05/19/2025,$50.03,9406488,$49.71,$50.35,$49.18
05/16/2025,$50.37,6099765,$50.11,$50.39,$49.85
05/15/2025,$50.12,7286622,$49.79,$50.235,$49.58
